id,area,texto,texto_limpio_nlp
36,Civil,Se demanda la nulidad absoluta del contrato de donación por carecer de la insinuación notarial exigida por la legislación vigente.,demandar nulidad absoluto contrato donacion carecer insinuacion notarial exigido legislacion vigente
37,Civil,Proceso ejecutivo singular para el cobro judicial de una letra de cambio cuyo plazo de exigibilidad se encuentra plenamente vencido.,ejecutivo singular cobro judicial letra cambio plazo exigibilidad plenamente vencer
38,Civil,Se alega la responsabilidad civil extracontractual del propietario del vehículo automotor considerado una actividad peligrosa por el ordenamiento.,alegar responsabilidad civil extracontractual propietario vehiculo automotor considerado actividad peligroso ordenamiento
39,Civil,Demanda de restitución de inmueble arrendado por la causal de mora en el pago de los cánones de arrendamiento mensuales.,demanda restitucion inmueble arrendado causal mora pago canon arrendamiento mensual
40,Civil,La servidumbre de tránsito debe constituirse de forma forzosa dado que el predio sirviente es la única vía de acceso al camino público.,servidumbre transito constituir él forma forzoso predio sirviente unico via acceso camino publico
41,Civil,Se solicita el levantamiento del patrimonio de familia inembargable para proceder con la venta comercial del apartamento adquirido.,levantamiento patrimonio familia inembargable proceder venta comercial apartamento adquirido
42,Civil,La teoría de la imprevisión contractual aplica debido al aumento desmesurado de los costos por una devaluación abrupta de la moneda nacional.,teoria imprevision contractual aplico aumento desmesurado costo devaluacion abrupto moneda nacional
43,Civil,Se instaura acción reivindicatoria de dominio para recuperar la posesión material de un lote invadido de manera violenta por terceros.,accion reivindicatorio dominio recuperar posesion material lote invadido violento tercero
44,Civil,Se solicita la resolución del contrato de permuta comercial ante el vicio oculto detectado en los automotores entregados como parte de pago.,resolucion contrato permuta comercial vicio oculto detectado automotor entregado pago
45,Civil,La hipoteca abierta sin límite de cuantía debe ser cancelada formalmente al haberse extinguido la obligación principal garantizada.,hipoteca abierto limite cuantia cancelar formalmente haber él extinguir obligacion principal garantizado
46,Penal,La Fiscalía General de la Nación formuló imputación por el delito de hurto calificado y agravado en concurso heterogéneo.,fiscalia general nacion formulo imputacion delito hurto calificado agravado concurso heterogeneo
47,Penal,El juez de control de garantías impuso medida de aseguramiento de detención preventiva en establecimiento carcelario contra el procesado.,juez control garantia imponer medida aseguramiento detencion preventivo establecimiento carcelario procesado
48,Penal,La defensa solicita la preclusión de la investigación penal aduciendo la atipicidad absoluta de la conducta desplegada por su representado.,defensa preclusion investigacion penal aducir atipicidad absoluto conducta desplegado representado
49,Penal,Se apela la sentencia condenatoria argumentando la violación al principio de presunción de inocencia y la falta de pruebas de cargo.,apelar sentencia condenatorio argumentar violacion principio presuncion inocencia falta prueba cargo
50,Penal,El procesado cometió el delito de concusión al exigir dinero en su calidad de servidor público para agilizar un trámite administrativo.,procesado cometio delito concusion exigir dinero calidad servidor publico agilizar tramite administrativo
51,Penal,Se investiga la comisión del delito de concierto para delinquir con fines de tráfico de estupefacientes a nivel intermunicipal.,investigar comision delito concierto delinquir fines trafico estupefaciente nivel intermunicipal
52,Penal,La cadena de custodia de los elementos materiales probatorios se vio comprometida al no registrarse las firmas en el acta de recolección.,cadena custodia elemento material probatorio ver comprometido registrar él firma acta recoleccion
53,Penal,"Se configura la legítima defensa al demostrarse una agresión actual, inminente e injustificada contra la vida del imputado.",configurar legitima defensa demostrar él agresion actual inminente injustificado vida imputado
54,Penal,La víctima de violencia de género solicita medidas de protección frente a las amenazas de muerte proferidas por el presunto agresor.,victima violencia genero medida proteccion frente amenaza muerte proferida presunto agresor
55,Penal,El peritaje de medicina legal determinó una incapacidad médico-legal definitiva de cuarenta días por lesiones personales graves.,peritaje medicina legal determino incapacidad medicolegal definitivo cuarenta lesión personal grave
56,Penal,Se solicita la libertad por vencimiento de términos procesales al haber transcurrido el tiempo legal sin que se radicara el escrito de acusación.,libertad vencimiento termino procesal transcurrir tiempo legal radicar escrito acusacion
57,Penal,La conducta penal analizada encaja en el tipo penal de fraude procesal al haber inducido en error a un servidor público con documentos falsos.,conducta penal analizado encajar tipo penal fraude procesal inducir error servidor publico documento falso
58,Penal,El indiciado se allanó a los cargos de peculado por apropiación buscando obtener una rebaja sustancial de la pena en la dosificación punitiva.,indiciado allanar cargo peculado apropiacion buscar obtener rebaja sustancial pena dosificacion punitivo
59,Familia,"La violencia patrimonial y la violencia económica vulneran la dignidad de la mujer, requiriendo un enfoque interseccional en el juzgado civil.",violencia patrimonial violencia economico vulnerar dignidad mujer requerir enfoque interseccional juzgado civil
60,Laboral,Un despido discriminatorio motivado por la orientación sexual del trabajador activa de inmediato la protección constitucional vía acción de tutela.,despido discriminatorio motivado orientacion sexual trabajador activo inmediato proteccion constitucional via accion tutela
